Date,Time,Open,High,Low,Close,Volume
2007.05.10,00:00,120.120,120.530,119.690,119.880,2826
2007.05.11,00:00,119.880,120.200,119.460,120.170,2956
2007.05.12,00:00,120.170,120.170,120.170,120.170,1
2007.05.13,00:00,120.170,120.240,120.020,120.060,331
2007.05.14,00:00,120.060,120.500,120.040,120.450,1816
2007.05.15,00:00,120.450,120.570,120.110,120.210,2526
2007.05.16,00:00,120.210,120.820,120.170,120.780,1616
2007.05.17,00:00,120.780,121.350,120.740,121.300,1966
2007.05.18,00:00,121.300,121.380,120.670,121.120,2646
2007.05.19,00:00,121.120,121.120,121.120,121.120,1
2007.05.20,00:00,121.120,121.190,121.010,121.150,331
2007.05.21,00:00,121.150,121.600,121.090,121.440,1676
2007.05.22,00:00,121.440,121.700,121.200,121.700,1946
2007.05.23,00:00,121.700,121.860,121.310,121.540,2306
2007.05.24,00:00,121.540,121.660,121.140,121.260,2886
2007.05.25,00:00,121.260,121.880,120.850,121.780,2846
2007.05.26,00:00,121.780,121.780,121.780,121.780,1
2007.05.27,00:00,121.780,121.790,121.680,121.750,191
2007.05.28,00:00,121.750,121.770,121.590,121.640,1016
2007.05.29,00:00,121.640,121.790,121.180,121.570,2496
2007.05.30,00:00,121.570,121.750,121.290,121.550,2186
2007.05.31,00:00,121.550,121.980,121.450,121.720,2176
2007.06.01,00:00,121.720,122.130,121.670,122.060,1386
2007.06.02,00:00,122.060,122.060,122.060,122.060,1
2007.06.03,00:00,122.060,122.100,121.960,122.020,241
2007.06.04,00:00,122.020,122.090,121.540,121.640,1926
2007.06.05,00:00,121.640,121.910,121.120,121.400,3026
2007.06.06,00:00,121.400,121.460,120.860,120.890,2936
2007.06.07,00:00,120.890,121.550,120.750,121.120,3176
2007.06.08,00:00,121.120,121.810,120.760,121.710,3576
2007.06.09,00:00,121.710,121.710,121.710,121.710,1
2007.06.10,00:00,121.710,121.740,121.550,121.650,321
2007.06.11,00:00,121.650,121.800,121.490,121.750,1646
2007.06.12,00:00,121.750,121.830,121.530,121.540,1696
2007.06.13,00:00,121.540,122.740,121.470,122.560,2746
2007.06.14,00:00,122.560,123.110,122.530,123.010,1976
2007.06.15,00:00,123.010,123.630,122.890,123.430,1986
2007.06.16,00:00,123.430,123.430,123.430,123.430,1
2007.06.17,00:00,123.430,123.540,123.430,123.510,141
2007.06.18,00:00,123.510,123.730,123.300,123.640,1796
2007.06.19,00:00,123.640,123.700,123.330,123.420,1566
2007.06.20,00:00,123.420,123.650,123.090,123.530,2296
2007.06.21,00:00,123.530,123.760,123.460,123.760,1436
2007.06.22,00:00,123.760,124.130,123.740,123.880,2086
2007.06.23,00:00,123.880,123.880,123.880,123.880,1
2007.06.24,00:00,123.880,123.880,123.620,123.810,451
2007.06.25,00:00,123.810,123.930,123.310,123.550,2606
2007.06.26,00:00,123.550,123.620,122.790,122.930,3586
2007.06.27,00:00,122.930,123.360,122.230,123.240,4116
2007.06.28,00:00,123.240,123.300,122.760,123.230,2976
2007.06.29,00:00,123.230,123.550,122.940,123.160,2536
2007.06.30,00:00,123.160,123.160,123.160,123.160,1
2007.07.01,00:00,123.160,123.240,122.910,123.200,621
